COURSE_COSE,COURSE_ENGLISH_FULL_NAME,COURSE_ENGLISH_SHORT_NAME,COURSE_FRENCH_FULL_NAME,COURSE_FRENCH_SHORT_NAME
CCS3150,Early Learning & Child Care 5,EarlyLearn&ChildCare 5,Apprentissage et garde des jeunes enfants 5,Appr/garde enfants 5
CKA3435,Entremetier-Food Serv,Entremetier-Food Serv,Entremétier Service,Entremetier-serv. al.
COM2025,Electronic Layout & Publishing 1,Elec Layout & Publish 1,Mise en page électronique et édition 1,Mise en page/edition 1
CTS6732,Wildlife 3F,Wildlife 3F,Faune 3F,Faune 3F
DES3060,3-D Design Studio 3,3-D Design Studio 3,Design 3D - Studio 3,Design 3D - Studio 3
DES3035,2-D Design 3,2-D Design 3,Design 2D 3,Design 2D 3
DES3030,2-D Design Studio 3,2-D Design Studio 3,Design 2D - Studio 3,Design 2D - Studio 3
DES3010,2-D Design Studio 1,2-D Design Studio 1,Design 2D - Studio 1,Design 2D - Studio 1
DES3105,Engineering Design,Engineering Design,Design d'ingénierie,Design d'ingenierie
DES3070,Living Environ Studio 1,Living Environ Studio 1,Espace vital - Studio 1,Espace vital - Studio 1
ENM1100,Conservation Challenge,Conservation Challenge,Defi de la conservation,Defi de la conservation
ENM1050,Renewable Resources,Renewable Resources,Ressources renouvelables,Ressources renouvelables
ENM2060,Refining Hydrocarbons,Refining Hydrocarbons,Raffinage d'hydrocarbures,Raffinage d'hydrocarbures
ETA3485,ETA Practicum D,ETA Practicum D,ETA - Cours pratique D,ETA - Cours pratique D
FAB1048,Semi-automated/Automated Welding,Semi-auto/Auto Weld,Soudage semi-automatisé/automatisé,Soudage semi-auto/auto
FAB1010,Fabrication Tools & Materials,Fabrication Tools&Materials 1,Outils et matériaux de fabrication,Outils/mat. fabrication
FAB3910,FAB Project D,FAB Project D,FAB - Projet D,FAB - Projet D
FAB3160,Prefabrication Principles,Prefabrication Principles,Principes de préfabrication,Principes de prefabri.
FAS2090,Specialty Fabrics 1,Specialty Fabrics 1,Étoffes spéciales,Etoffes speciales
FAS2050,Flat Pattern 1,Flat Pattern 1,Exécution à plat de patrons 1,Execution plat patrons 1
FAS3080,Cultural Fashions,Cultural Fashions,Mode et cultures,La culture et la mode
FNA3400,Art 30,Art 30,Arts visuels 30,Arts visuels 30
HCS1100,Infection & Immunity 1,Infection & Immunity 1,Infection et immunité 1,Infection et immun 1
HES3230,GroupExercise Leaders,GroupExercise Leaders,Leader exercice groupe,Leadeur exercice groupe
HSS2030,Perspectives on Interpersonal Relationships,Interpersonal Relation,Perspectives en relations interpersonnelles,Relations interpers
IED2834,Beauty Culture 22C,Beauty Culture 22C,Esthetique 22C,Esthetique 22C
IED3918,Horticulture 32C,Horticulture 32C,Horticulture 32C,Horticulture 32C
INA3425,Fibres & Foam,Fibres & Foam,Fibres et mousses,Fibres et mousses
INA3400,Introduction & Safety,Introduction & Safety,Introduction et sécurité,Intro et securite
INA3900,INA Apprenticeship Safety,INA Safety,INA - Sécurité stage d'apprenti,INA - Securite
INA3465,INA Practicum C,INA Practicum C,INA - Cours pratique C,INA - Cours pratique C
INF3095,Productivity Software Integration,Productivity Software,Intégration d'un logiciel de productivité,Integrat logiciel prod
IOP2408,Technical Arts 26,Technical Arts 26,Arts techniques 26,Arts techniques 26
ISA3435,Hazards & Regulations,Hazards & Regulations,Dangers et règlements,Dangers et reglements
JRH7410,Music (Instr.) 7,Music (Instr.) 7,Musique (instrum.) 7,Musique (instrum.) 7
LDC3535,Algebra 35,Algebra 35,Algèbre 35,Algèbre 35
LDC3531,Advertising Design 35,Advertising Design 35,Design publicitaire 35,Design publicitaire 35
LDC3516,Advanced Film and Media Studies 35,Film and Media 35,Études avancées du cinéma et des médias 35,Études av ciném et méd 35
LDC3508,Le crayon musclé 35,Le crayon musclé 35,Le crayon musclé 35,Le crayon muscle 35
LDC3753,Marine Biology 35,Marine Biology 35,Biologie marine 35,Biologie marine 35
LDC3868,Drafting 35,Drafting 35,Dessin industriel 35,Dessin industriel 35
LDC3967,Physiotherapy 35,Physiotherapy 35,Physiotherapie 35,Physiotherapie 35
