ENROLMENT_ASN,ENROLMENT_SCHOOL_CODE,ENROLMENT_SCHOOL_YEAR,ENROLMENT_COURSE_CODE,ENROLMENT_ENTRY_DATE,ENROLMENT_EXIT_DATE
027262048,1101,2024,CON1120,13-SEP-23,30-JAN-24
027262048,1101,2024,HCS3000,11-OCT-23,26-JUN-24
027262048,1101,2024,PED1445,05-SEP-23,30-JAN-24
027262048,1101,2024,MAT1791,05-SEP-23,30-JAN-24
027262048,1101,2024,HCS3010,30-NOV-23,26-JUN-24
027262048,1101,2024,ELT1030,05-FEB-24,26-JUN-24
027262048,1101,2024,PED0770,31-JAN-24,26-JUN-24
027262048,1101,2024,SST1771,31-JAN-24,26-JUN-24
027262048,1101,2024,SCN1270,05-SEP-23,30-JAN-24
027262048,1101,2024,ELA1105,31-JAN-24,26-JUN-24
027262048,1101,2024,CON1010,13-SEP-23,30-JAN-24
027262048,1101,2024,CON1130,13-SEP-23,30-JAN-24
027262048,1101,2024,CON1070,08-DEC-23,30-JAN-24
027262048,1101,2024,CON1120,13-SEP-23,30-JAN-24
027262048,1101,2024,HCS3000,11-OCT-23,26-JUN-24
027262048,1101,2024,PED1445,05-SEP-23,30-JAN-24
027262048,1101,2024,MAT1791,05-SEP-23,30-JAN-24
027262048,1101,2024,HCS3010,30-NOV-23,26-JUN-24
027262048,1101,2024,ELT1030,05-FEB-24,26-JUN-24
027262048,1101,2024,PED0770,31-JAN-24,26-JUN-24
027262048,1101,2024,SST1771,31-JAN-24,26-JUN-24
027262048,1101,2024,SCN1270,05-SEP-23,30-JAN-24
027262048,1101,2024,ELA1105,31-JAN-24,26-JUN-24
027262048,1101,2024,CON1010,13-SEP-23,30-JAN-24
027262048,1101,2024,CON1130,13-SEP-23,30-JAN-24
027262048,1101,2024,CON1070,08-DEC-23,30-JAN-24
032343874,1101,2024,EST1020,20-OCT-23,30-JAN-24
032343874,1101,2024,OTH9901,19-DEC-23,30-JAN-24
032343874,1101,2024,COS1020,20-SEP-23,30-JAN-24
032343874,1101,2024,AGR3000,26-OCT-23,30-JAN-24
032343874,1101,2024,HCS3010,26-SEP-23,30-JAN-24
032343874,1101,2024,COS1010,14-SEP-23,30-JAN-24
032343874,1101,2024,PED0770,05-SEP-23,30-JAN-24
032343874,1101,2024,HSA3421,30-NOV-23,30-JAN-24
032343874,1101,2024,OTH9902,26-FEB-24,26-JUN-24
032343874,1101,2024,PED1445,31-JAN-24,26-JUN-24
032343874,1101,2024,HSA3431,30-NOV-23,30-JAN-24
032343874,1101,2024,HCS3000,25-SEP-23,30-JAN-24
032343874,1101,2024,MAT2791,31-JAN-24,26-JUN-24
032343874,1101,2024,HSA3900,14-SEP-23,30-JAN-24
032343874,1101,2024,HSA3436,30-NOV-23,30-JAN-24
032343874,1101,2024,MAT1791,05-SEP-23,30-JAN-24
032343874,1101,2024,EST1070,26-OCT-23,30-JAN-24
032343874,1101,2024,OTH9900,19-DEC-23,30-JAN-24
032343874,1101,2024,SCN1270,31-JAN-24,26-JUN-24
032343874,1101,2024,ELA1105,31-JAN-24,26-JUN-24
032343874,1101,2024,SST1771,05-SEP-23,30-JAN-24
039900650,2239,2024,PED0770,26-JAN-24,09-FEB-24
039900650,1303,2024,HCS3000,12-SEP-23,30-JAN-24
039900650,2239,2024,PED2445,26-JAN-24,26-JUN-24
039900650,1303,2024,ELA1105,05-SEP-23,30-JAN-24
039900650,1303,2024,AGR3000,05-SEP-23,30-JAN-24
039900650,1303,2024,FNA1400,12-SEP-23,30-JAN-24
039900650,1303,2024,OTH3998,05-SEP-23,30-JAN-24
039900650,1303,2024,PED1445,05-SEP-23,29-JAN-24
039900650,2239,2024,SCN1270,07-FEB-24,26-JUN-24
039900650,1303,2024,HCS3010,05-SEP-23,30-JAN-24
039900650,1303,2024,SST1771,05-SEP-23,30-JAN-24
039900650,1303,2024,MAT1791,05-SEP-23,30-JAN-24
012790912,1101,2024,EST1020,27-SEP-23,30-JAN-24
012790912,1101,2024,OTH9901,19-DEC-23,30-JAN-24
012790912,1101,2024,COS1020,15-SEP-23,30-JAN-24
012790912,1101,2024,HCS3000,02-OCT-23,26-JUN-24
012790912,1101,2024,AGR3000,02-OCT-23,30-JAN-24
012790912,1101,2024,COS1010,14-SEP-23,30-JAN-24
012790912,1101,2024,HSA3421,30-NOV-23,30-JAN-24
012790912,1101,2024,OTH9902,26-FEB-24,26-JUN-24
012790912,1101,2024,HSA3431,30-NOV-23,30-JAN-24
012790912,1101,2024,MAT1791,05-SEP-23,11-SEP-23
012790912,1101,2024,HSA3900,14-SEP-23,30-JAN-24
012790912,1101,2024,HSA3436,30-NOV-23,30-JAN-24
012790912,1101,2024,MAT1791,12-SEP-23,30-JAN-24
012790912,1101,2024,EST1070,26-OCT-23,30-JAN-24
012790912,1101,2024,SCN1270,05-SEP-23,30-JAN-24
012790912,1101,2024,PED0770,31-JAN-24,26-JUN-24
012790912,1101,2024,OTH9900,19-DEC-23,30-JAN-24
012790912,1101,2024,SST1771,31-JAN-24,26-JUN-24
012790912,1101,2024,ELA1105,31-JAN-24,26-JUN-24
012790912,1101,2024,LDC1909,05-SEP-23,30-JAN-24
012790912,1101,2024,PED1445,31-JAN-24,26-JUN-24
026652116,1101,2024,REC1040,07-FEB-24,26-JUN-24
026652116,1101,2024,HSS1020,07-FEB-24,26-JUN-24
026652116,1101,2024,REC1045,07-FEB-24,26-JUN-24
026652116,1101,2024,HCS3000,22-FEB-24,26-JUN-24
026652116,1101,2024,MAT1791,31-JAN-24,26-JUN-24
026652116,1101,2024,REC1050,07-FEB-24,26-JUN-24
026652116,1101,2024,HCS3010,22-FEB-24,26-JUN-24
026652116,1101,2024,PED0770,31-JAN-24,26-JUN-24
026652116,1101,2024,REC2040,07-FEB-24,26-JUN-24
026652116,1101,2024,SCN1270,05-SEP-23,30-JAN-24
026652116,1101,2024,LDC1909,05-SEP-23,30-JAN-24
026652116,1101,2024,PED1445,05-SEP-23,30-JAN-24
026652116,1101,2024,SST1771,05-SEP-23,30-JAN-24
026652116,1101,2024,ELA1105,31-JAN-24,26-JUN-24
