REGISTRATION_SCHOOL_CODE,REGISTRATION_SCHOOL_YEAR,REGISTRATION_ASN,REGISTRATION_START_DATE,REGISTRATION_EXIT_DATE
1203,2022,041277543,31-AUG-21,28-JUN-22
1112,2023,045789717,31-AUG-22,27-JUN-23
1108,2022,010289941,31-AUG-21,28-JUN-22
1113,2022,039227161,31-AUG-21,28-JUN-22
2078,2022,025650186,31-AUG-21,28-JUN-22
1115,2022,000243270,31-AUG-21,28-JUN-22
0590,2023,044328178,31-AUG-22,27-JUN-23
1105,2023,028248723,31-AUG-22,27-JUN-23
1103,2023,031509319,31-AUG-22,27-JUN-23
1102,2022,022768007,31-AUG-21,28-JUN-22
1304,2022,051246693,31-AUG-21,28-JUN-22
1103,2022,039147450,31-AUG-21,28-JUN-22
1107,2022,035340182,31-AUG-21,28-JUN-22
1103,2023,018373762,31-AUG-22,27-JUN-23
1102,2023,045296911,31-AUG-22,27-JUN-23
1115,2022,003683910,31-AUG-21,28-JUN-22
2078,2023,042350554,31-AUG-22,27-JUN-23
1105,2023,012739786,31-AUG-22,27-JUN-23
2078,2022,002720135,31-AUG-21,28-JUN-22
1104,2023,000044348,31-AUG-22,27-JUN-23
1424,2022,044892884,31-AUG-21,28-JUN-22
1105,2023,031418461,31-AUG-22,27-JUN-23
1108,2022,001261651,31-AUG-21,28-JUN-22
2078,2023,034596412,31-AUG-22,27-JUN-23
1109,2022,018055039,31-AUG-21,28-JUN-22
1109,2023,018055039,31-AUG-22,27-JUN-23
1424,2023,044535418,31-AUG-22,27-JUN-23
1115,2023,052273209,31-AUG-22,27-JUN-23
1112,2023,009089633,31-AUG-22,27-JUN-23
1108,2022,003264265,31-AUG-21,28-JUN-22
1108,2023,003264265,31-AUG-22,27-JUN-23
0590,2023,009914517,31-AUG-22,27-JUN-23
1203,2023,044753243,31-AUG-22,27-JUN-23
1101,2023,038361789,31-AUG-22,27-JUN-23
1105,2023,048972823,31-AUG-22,27-JUN-23
1105,2022,049696421,31-AUG-21,28-JUN-22
1112,2023,037025187,31-AUG-22,27-JUN-23
1112,2022,033278863,31-AUG-21,28-JUN-22
1101,2022,043914911,31-AUG-21,28-JUN-22
1135,2023,048940218,31-AUG-22,27-JUN-23
1424,2022,026237843,31-AUG-21,28-JUN-22
2078,2022,027402271,31-AUG-21,28-JUN-22
1101,2022,017517328,31-AUG-21,28-JUN-22
1311,2022,016359821,31-AUG-21,28-JUN-22
1112,2022,008879612,31-AUG-21,28-JUN-22
1113,2022,034770371,31-AUG-21,28-JUN-22
2078,2022,027218529,31-AUG-21,28-JUN-22
1424,2022,009644619,31-AUG-21,28-JUN-22
1203,2023,044531961,31-AUG-22,27-JUN-23
1203,2022,007530935,31-AUG-21,28-JUN-22
1115,2023,049553309,31-AUG-22,27-JUN-23
0590,2023,010047638,31-AUG-22,27-JUN-23
1424,2022,001130831,31-AUG-21,28-JUN-22
2078,2023,018317611,31-AUG-22,27-JUN-23
