SCHOOL_DISTRICT_CODE,SCHOOL_DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,SCHOOL_CITY,SCHOOL_POSTAL_CODE
0090,Sahtu Divisional Education Council,0039,MacKenzie Mountain School,Norman Wells,X0E0V0
9858,It Takes A Village Educational Society,0179,It Takes a Village Kindergarten,Cochrane,T4C1B2
9881,Beverly Day Care Society & Family Resource Centre,0214,Beverly Day Care Centre,Edmonton,T5W2Y4
9926,Teaching Tree Montessori Sch,0255,Teaching Tree Montessori School,Calgary,T2W1G4
9945,Victory Christian Fellowship of Lethbridge (1983) Inc.,0270,Agape Early Childhood Services,Lethbridge,T1J4K4
9377,Red Earth Childrens Assoc,0287,Red Earth Community Hall,Red Earth Creek,T0G1X0
1085,Grande Yellowhead Public School Division,0327,The Learning Connection - Grande Cache,Grande Cache,T0E0Y0
9098,Grant MacEwan (ASN),0501,Grant MacEwan Community College (ASN),Edmonton,T5K0L2
9510,West Central Pre-School Soc,0612,Clairmont ECS Portable,,
2275,The Northern Gateway School Division,0636,Darwell Teacherage ECS,Darwell,T0E0L0
9523,Breton K Parent Assoc,0659,Breton Elementary School ECS,,
9585,Clive & District ECS Society,0733,Clive School ECS,,
9586,Coronation ECS,0734,Coronation School ECS,Coronation,T0C1C0
9612,Sedgewick Early Childhood Centre,0765,Sedgewick ECS Portable,Sedgewick,T0B4C0
9719,Redcliff ECS Association,0912,I F Cox School,,
9652,Family Life Ed Council,0933,Ogden O N C,,
9652,Family Life Ed Council,0934,St. Matthew's O N C,,
9763,Ardmore ECS,0946,Ardmore ECS,,
9778,Drayton V Assoc Dev Handi,0970,Portage In-Home Program ECS,,
0094,Nunavut - Department of Education,0038,Inuksuit School,Qikiqtarjuaq,X0A0B0
9123,Lakeland College,1262,Lakeland College - Sherwood Park,Sherwood Park,T8H2M3
0177,The Peace Wapiti School Division,1304,Rycroft School,Rycroft,T0H3A0
0177,The Peace Wapiti School Division,1310,Woking Community Hall ECS,,
4160,The Fort McMurray Roman Catholic Separate School Division,1354,St. Martha Catholic School,Fort McMurray,T9K0B3
0201,Mrs. P's Place Kindergarten Society,1355,Mrs. P's Place,Olds,T4H1C5
9247,Buffalo Head Mennonite School Society,1356,Ostland School,Buffalo Head Prairie,T0H4A0
9827,Providence Child Development Society,1385,Providence Children's Centre - Midnapore,Calgary,T2V0Z4
3260,The Board of Trustees of Fort McMurray Public School Division,1849,Gregoire Park Elementary School,Fort McMurray,T9H3Z7
4160,The Fort McMurray Roman Catholic Separate School Division,1850,Youth Assessment Centre,Fort McMurray,T9H4P3
3260,The Board of Trustees of Fort McMurray Public School Division,1858,Frank Spragins High School,Fort McMurray,T9K1A1
0293,Airdrie Petits Amis Support Services,1860,Airdrie Petits Amis Support Services,Airdrie,T4B0J6
4160,The Fort McMurray Roman Catholic Separate School Division,1871,Our Lady of the Rivers Catholic School,Fort McMurray,T9H2J5
4160,The Fort McMurray Roman Catholic Separate School Division,1873,St. Paul's Elementary School,Fort McMurray,T9H3P3
