SECTION_ID,SECTION_CREDITS,SECTION_DELIVERY_SCHEDULE,SECTION_DESCRIPTION,SECTION_START_DATE,SECTION_END_DATE,SECTION_LANGUAGE,SECTION_REFID,SECTION_SCHOOL_CODE,SECTION_SCHOOL_YEAR,SECTION_TERM,SECTION_COURSE_CODE
1581251,5,REG,MAT1793.LV - Mathematics 10-3,02-SEP-22,27-JUN-23,EN,72f6fde7-6e60-4082-b912-8236b423e654,2239,2023,FullYear,MAT1793
1581276,5,REG,FSL2093.00 - French 20 - 3Y,04-NOV-22,27-JUN-23,EN,7ad94751-3f21-4d3a-abb4-423dbf13a65b,2239,2023,FullYear,FSL2093
1581295,5,REG,KAE1780.00 - English 10-4,04-NOV-22,27-JUN-23,EN,019bd879-5058-4147-8a05-e359b99cca2f,2239,2023,FullYear,KAE1780
1581321,5,REG,KAE2780.00 - English 20-4,04-NOV-22,27-JUN-23,EN,e19fab95-4eff-491f-a372-a9627cd63fbe,2239,2023,FullYear,KAE2780
1581339,5,REG,MAT3792.1 - Mathematics 30-2,06-JUN-22,30-JAN-23,EN,a9b08b96-6ae4-45e2-8860-febb5274b8c9,2239,2023,Semester1,MAT3792
1581359,3,REG,SSN2172.EB - General Psychology 20,03-SEP-21,28-JUN-22,EN,c81472f4-52b9-4a2f-ac4d-2b8ad0079ced,2239,2022,FullYear,SSN2172
1581360,5,REG,MAT3793.LV - Mathematics 30-3,14-JUN-22,27-JUN-23,EN,75f07a54-570a-4cf3-8fbc-a67e72985a17,2239,2023,FullYear,MAT3793
1581375,5,REG,KAE1781.BBB - Social Studies 10-4,27-AUG-21,28-JUN-22,EN,e790d2cf-3f71-4588-96c4-17c5a7f9adce,2239,2022,FullYear,KAE1781
1581393,5,REG,KAE2783.LS - Science 20-4,05-SEP-22,27-JUN-23,EN,dd195781-5f79-406d-9de1-a65ff09e078e,2239,2023,FullYear,KAE2783
1581424,3,REG,PED0770.LS - Career & Life Management,09-SEP-22,27-JUN-23,EN,f2c83b56-bd58-4c1a-bde7-d79a21792828,2239,2023,FullYear,PED0770
1581457,5,REG,ELA1104.RM - English Language Arts 10-2,28-MAY-21,28-JUN-22,EN,49e165c3-8393-48ff-a308-82a86b8a662c,2239,2022,Semester2,ELA1104
1581458,5,REG,MAT3791.RM - Mathematics 30-1,28-MAY-21,28-JUN-22,EN,6bc4f9b4-69c5-4fc1-81e0-fba751bb4191,2239,2022,Semester2,MAT3791
1581462,5,REG,MAT3792.RM - Mathematics 30-2,28-MAY-21,28-JUN-22,EN,6e2727ea-c564-41d7-a760-88f80b9c5801,2239,2022,Semester2,MAT3792
1581475,5,REG,SCN1288.1 - Science 14,01-JUN-21,28-JUN-22,EN,ea97922a-13c3-42e2-812a-3b9a0ad754d8,1055,2022,FullYear,SCN1288
1581526,3,REG,LDC24493.231 - Yoga 25 (3 cr),03-AUG-21,18-APR-22,EN,c84ee997-1fbf-4265-9295-8ed4916e2f85,1101,2022,Quarter3,LDC2449
1581531,5,REG,OTH9925.BBB - Equine Processes and Practices 33,26-JUN-23,27-JUN-23,EN,7469859d-7878-4535-b722-db5a1603493d,2239,2023,FullYear,OTH9925
1581535,5,REG,ELA1105.22 - English Language Arts 10-1,03-AUG-21,28-JUN-22,EN,78c2dd62-9f09-45ae-94fc-e9a217502c17,1101,2022,Semester2,ELA1105
1581544,5,REG,ELA2104.21 - English Language Arts 20-2,03-AUG-21,28-JUN-22,EN,dd291cd9-92a1-4cf9-a8d9-939cb743c5c7,1101,2022,Semester2,ELA2104
1581550,5,REG,ELA3104.22 - English Language Arts 30-2,03-AUG-21,28-JUN-22,EN,ae08ab36-3cf8-4025-ad8b-0db83282e1aa,1101,2022,Semester2,ELA3104
1581722,5,REG,SCN3230.21 - Biology 30,03-AUG-21,28-JUN-22,EN,96f00ebd-659b-499e-a314-fe724388b929,1101,2022,Semester2,SCN3230
1581725,5,REG,LDC1269V.11 - Creative Writing&Publishing 15(VARIA,02-AUG-22,30-JAN-23,EN,234670e1-712a-4756-872d-7a408b35d5ee,1101,2023,Semester1,LDC1269
1581726,5,REG,SST2772.14 - Social Studies 20-2,03-AUG-21,30-JAN-22,EN,ac8e2b67-f6e9-4243-85fd-8625f8406fce,1101,2022,Semester1,SST2772
1581795,5,REG,PED1445V.14 - Physical Education 10 (Variable Cred,02-AUG-22,30-JAN-23,EN,a077cc1d-a1ca-4654-9e4d-00209b45ccde,1101,2023,Semester1,PED1445
1582016,5,REG,FNA34105.1 - Drama 30 (5 cr),02-AUG-22,27-JUN-23,EN,828529d3-201c-4dad-a38e-55a692a1f70b,0590,2023,Semester2,FNA3410
1582020,5,REG,FNA34255.1 - Instrumental Music 30 (5 cr),02-AUG-22,27-JUN-23,EN,4a5683b5-cc02-4126-b55b-a060244c1b17,0590,2023,Semester2,FNA3425
1582048,5,REG,SST1771.3 - Social Studies 10-1,03-AUG-21,30-JAN-22,EN,a592744b-dedd-41d5-b5ef-4443f5af5f8e,0590,2022,Semester1,SST1771
1582059,5,REG,SST2772.2 - Social Studies 20-2,03-AUG-21,28-JUN-22,EN,e8901402-9652-4a0e-9d6b-11361f6ec4bf,0590,2022,Semester2,SST2772
1582071,5,REG,LDC2449V.2 - Yoga 25(VARIABLE),02-AUG-22,30-JAN-23,EN,9d1aaba3-d3d4-4e6b-8f6e-9881a64ce252,0590,2023,Semester1,LDC2449
1582075,5,REG,LDC3449V.1 - Yoga 35 (VARIABLE),02-AUG-22,27-JUN-23,EN,1bd803ac-956c-4489-9c82-71d0d2a9ccc8,0590,2023,Semester2,LDC3449
1582147,5,REG,SCN1270.2 - Science 10,02-AUG-22,30-JAN-23,EN,b2f3c9e2-4290-4ca2-bc22-966a2bee26f6,0590,2023,Semester1,SCN1270
1582185,5,REG,SCN3230.1 - Biology 30,02-AUG-22,30-JAN-23,EN,2d2e7a48-76dd-4632-a43f-c82f351dc7cf,0590,2023,Semester1,SCN3230
1582193,5,REG,SCN3796.2 - Chemistry 30,02-AUG-22,27-JUN-23,EN,672b2f51-c439-457e-8ff6-18a34dd2a0b9,0590,2023,Semester2,SCN3796
1582200,5,REG,SST1771.1 - Social Studies 10-1,02-AUG-22,30-JAN-23,EN,81c4307f-6feb-4606-bfcb-056d920005fd,0590,2023,Semester1,SST1771
1582277,5,REG,MAT3792.3 - Mathematics 30-2,03-AUG-21,28-JUN-22,EN,8dff5def-466d-4870-ba22-57365195ca02,1108,2022,Semester2,MAT3792
1582278,5,REG,MAT2793.4 - Mathematics 20-3,02-AUG-22,27-JUN-23,EN,0f8e3287-a7d7-4922-b254-96b32af391cc,1108,2023,Semester2,MAT2793
1579318,10,REG,OTH1998V.3 - Work Experience 15 (Variable Credit),26-APR-23,26-JUN-24,EN,d75fe71d-d08d-46ac-8453-e94ee82f1dad,1305,2024,Semester2,OTH1998
1579397,1,REG,HSS1910.KT - HSS Project A,02-MAY-23,26-JUN-24,EN,f5fc4234-8894-48ed-b57f-440bed936584,2239,2024,FullYear,HSS1910
1579418,1,REG,INF1030.OO - Word Processing 1,29-AUG-23,26-JUN-24,EN,c9606b87-ce0e-49b9-ab85-bdce66bd314d,2239,2024,FullYear,INF1030
1579512,3,REG,SSN2171.LS - Personal Psychology 20,28-AUG-23,26-JUN-24,EN,ac525683-9437-4b6d-b207-35ce09e0a837,2239,2024,FullYear,SSN2171
1579742,5,REG,FNA2400V.13 - Art 20 (Variable),02-AUG-23,30-JAN-24,EN,c04ead2c-01ce-41e1-a785-018022e24088,1101,2024,Semester1,FNA2400
1580250,1,REG,MEC2020.1 - Vehicle Maintenance,22-SEP-23,30-JAN-24,EN,1633042b-6f4d-47a5-bb22-35f8495e4ef3,1108,2024,Semester1,MEC2020
1580317,1,REG,FOD3160.1 - Regional Cuisine,05-OCT-23,30-JAN-24,EN,4c875dc5-268a-4653-8eed-01eed8949be9,1101,2024,Semester1,FOD3160
1580330,1,REG,WLD1100.2 - Outdoor Cooking Theory,10-OCT-23,30-JAN-24,EN,032cefe3-ebf7-4b35-90d0-8a4f294c8320,0590,2024,Semester1,WLD1100
1580337,1,REG,EST3040.1 - Hair Removal,11-OCT-23,30-JAN-24,EN,11b0297d-37f6-4371-87cb-cd3a5e52e7db,0590,2024,Semester1,EST3040
1580347,1,REG,FAS1010.1 - Fashion Dynamics,12-OCT-23,30-JAN-24,EN,0efc330f-4560-4b33-8451-23249e54c5b3,1101,2024,Semester1,FAS1010
1580593,1,REG,REC2050.C - Sport Psychology 2,29-NOV-23,26-JUN-24,EN,1ff71db7-1a76-4e18-95f7-4d743c049136,0590,2024,FullYear,REC2050
1580640,1,REG,WLD2070.E - Hunting & Game Management Practice,07-DEC-23,26-JUN-24,EN,8652236d-4614-4556-9e9a-425c1b4c4142,0590,2024,FullYear,WLD2070
1580709,1,REG,CON1140.1 - Turning Operations,08-JAN-24,30-JAN-24,EN,c85dc002-9bf5-49bb-b8da-7a9f0e728c41,1108,2024,Semester1,CON1140
1581009,5,REG,OTH9901CH.2 - Cow Calf Processes and Practices 33,26-FEB-24,26-JUN-24,EN,2efa2e4b-cf99-440f-abff-8252c6157f27,1101,2024,Semester2,OTH9901
1582401,3,REG,FNA14003.1222 - Art 10 (3 cr),13-AUG-21,30-JAN-22,EN,91012d03-fffb-4973-9f60-b057430d7b75,1101,2022,Quarter2,FNA1400
1582425,5,REG,SST2771.RR - Social Studies 20-1,19-AUG-21,28-JUN-22,EN,0a1e0768-975e-4e18-98cd-d6e179aef491,2239,2022,FullYear,SST2771
1582445,5,REG,ELA1104.HD - English Language Arts 10-2,24-AUG-21,28-JUN-22,EN,88ccaad2-6090-4338-9440-1a28d37772bf,2239,2022,FullYear,ELA1104
1582464,5,REG,KAE3780.1 - English 30-4,02-AUG-22,30-JAN-23,EN,41154737-d05c-4e1a-88a4-850d1176a221,1306,2023,Semester1,KAE3780
1582484,5,REG,MAT3793.1 - Mathematics 30-3,02-AUG-22,30-JAN-23,EN,a30f3a43-7fe5-4797-b5f9-f35bed4aa78a,1306,2023,Semester1,MAT3793
1582531,5,REG,ELA2104.13 - English Language Arts 20-2,07-SEP-21,30-JAN-22,EN,0fcd6692-99e0-4901-9e47-50d644975fcb,1101,2022,Semester1,ELA2104
1582533,5,REG,LDC2289CH.1 - ASL and Deaf Culture 3Y (2022) 25,18-AUG-22,30-JAN-23,EN,a408239d-09aa-482b-bc6d-945b9b231cd9,0590,2023,Semester1,LDC2289
1582559,1,REG,FOD1030.2 - Snacks & Appetizers,08-SEP-21,30-JAN-22,EN,3376cb93-50bf-41f5-a423-1f1305bab26d,0590,2022,Semester1,FOD1030
1582609,1,REG,FAS1000.1 - Fashion Illustration 1,06-SEP-22,30-JAN-23,EN,e1a25393-0648-4b1a-a5cc-e35153e4d27b,1101,2023,Semester1,FAS1000
1582611,3,REG,SSN2176.1 - General Sociology 20,06-SEP-22,30-JAN-23,EN,8ea0fdd1-8390-45e7-b4e8-e58af2b4e43b,1101,2023,Semester1,SSN2176
